Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Water_flow","V1454",Word,1,R/W,100,,,,,,,,,,"Water flow (gpm)",
"Water_temp","V1455",Word,1,R/W,100,,,,,,,,,,"Water temperature",
"Recipe.step 0 Ar","V10007",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 0",
"Recipe.step 0 CH4","V10003",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 0",
"Recipe.step 0 H2","V10004",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 0",
"Recipe.step 0 H2S","V10006",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 0",
"Recipe.step 0 N2","V10002",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 0",
"Recipe.step 0 NH3","V10005",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 0",
"Recipe.step 0 O2","V10001",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 0",
"Recipe.step 0 Press","V10000",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 0",
"Recipe.step 0 Time","V10010",Word,1,R/W,100,,,,,,,,,,"Process time step 0",
"Recipe.step 00 Center","V11001",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 00",
"Recipe.step 00 Ht time","V11003",Word,1,R/W,100,,,,,,,,,,"Heater timer step 00",
"Recipe.step 00 Left","V11000",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 00",
"Recipe.step 00 Right","V11002",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 00",
"Recipe.step 1 Ar","V10020",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 1",
"Recipe.step 1 Center","V11005",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 1",
"Recipe.step 1 CH4","V10014",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 1",
"Recipe.step 1 H2","V10015",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 1",
"Recipe.step 1 H2S","V10017",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 1",
"Recipe.step 1 Ht time","V11007",Word,1,R/W,100,,,,,,,,,,"Heater timer step 1",
"Recipe.step 1 Left","V11004",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 1",
"Recipe.step 1 N2","V10013",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 1",
"Recipe.step 1 NH3","V10016",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 1",
"Recipe.step 1 O2","V10012",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 1",
"Recipe.step 1 Press","V10011",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 1",
"Recipe.step 1 Right","V11006",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 1",
"Recipe.step 1 Time","V10021",Word,1,R/W,100,,,,,,,,,,"Process time step 1",
"Recipe.step 10 Ar","V10141",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 10",
"Recipe.step 10 Center","V11051",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 10",
"Recipe.step 10 CH4","V10135",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 10",
"Recipe.step 10 H2","V10136",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 10",
"Recipe.step 10 H2S","V10140",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 10",
"Recipe.step 10 Ht time","V11053",Word,1,R/W,100,,,,,,,,,,"Heater timer step 10",
"Recipe.step 10 Left","V11050",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 10",
"Recipe.step 10 N2","V10134",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 10",
"Recipe.step 10 NH3","V10137",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 10",
"Recipe.step 10 O2","V10133",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 10",
"Recipe.step 10 Press","V10132",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 10",
"Recipe.step 10 Right","V11052",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 10",
"Recipe.step 10 Time","V10142",Word,1,R/W,100,,,,,,,,,,"Process time step 10",
"Recipe.step 11 Ar","V10152",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 11",
"Recipe.step 11 Center","V11055",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 11",
"Recipe.step 11 CH4","V10146",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 11",
"Recipe.step 11 H2","V10147",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 11",
"Recipe.step 11 H2S","V10151",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 11",
"Recipe.step 11 Ht time","V11057",Word,1,R/W,100,,,,,,,,,,"Heater timer step 11",
"Recipe.step 11 Left","V11054",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 11",
